term	estimate	std.error	statistic	p.value	conf.low	conf.high
intercept175	-0.7848293812862669	0.03718988894083571	-21.10329994625229	1.8128611904272084e-98	-0.8577202241993493	-0.7119385383731844
intercept176	-1.7874757736471725	0.03453507810243456	-51.75826643117289	0	-1.8551632829312221	-1.7197882643631228
intercept177	-0.2673352257337518	0.0384100376669249	-6.960035500406595	3.4395286054945654e-12	-0.3426175162057514	-0.19205293526175213
intercept178	0.5749270537053515	0.03544629569363008	16.219665340338214	5.010101209138391e-59	0.5054535907604794	0.6444005166502236
intercept179	1.2292475453310099	0.03631365809709635	33.850832159189736	1.2265937355252688e-248	1.1580740833137997	1.30042100734822
intercept180	0.3632142809601605	0.03457258681919275	10.50584623186265	8.585523415886566e-26	0.29545325594215854	0.43097530597816247
intercept181	-0.07461811044697929	0.047884177118958565	-1.5583041191583111	0.1191668813203255	-0.16846937302947498	0.019233152135516407
intercept182	-0.07661075594286132	0.04276297751543878	-1.7915206188624826	0.07321524134043401	-0.16042465174481743	0.007203139859094793
intercept183	0.8284546250824191	0.047521542376095134	17.433243612462345	7.008407531950695e-68	0.7353141135354786	0.9215951366293595
intercept184	0.7712483565719108	0.041729059460107354	18.482284684830198	4.858176239016702e-76	0.68946090292137	0.8530358102224517
intercept185	1.7743557412629283	0.046941559356952704	37.79925007966573	1.0093992741810047e-308	1.682351975545152	1.8663595069807046
intercept186	0.1578456195479238	0.06233620767042357	2.5321659023992287	0.011338770720333227	0.035668897581084186	0.28002234151476346
intercept187	1.0648796105024612	0.03823592754571926	27.850236122274502	1.5841907734480402e-169	0.9899385695973685	1.139820651407554
intercept188	1.102501123993801	0.03476950509998039	31.708852939480657	1.0703835189287467e-218	1.0343541462375576	1.1706481017500443
intercept189	0.98060538100997785	0.03795857816797796	25.83356459429298	2.746878230363531e-146	0.9062079348963927	1.055002827123563
intercept190	-0.2452589819378963	0.03450765069259674	-7.10737987128501	1.1968859352076889e-12	-0.31289273448647453	-0.17762522938931807
intercept191	1.945370227324577	0.04826979095903471	40.30202303912111	0	1.8507631755035918	2.039977279145562
intercept192	0.4417621974770241	0.08295890665854118	5.325072560265495	1.0130475336474223e-7	0.2791657282294634	0.6043586667245848
intercept193	-1.9718282669473515	0.08362543474230819	-23.579288682008542	2.5237315679387155e-122	-2.13573110723378	-1.8079254266609228
intercept194	-0.8402494905068791	0.07941130905124706	-10.580980222409316	3.8671002643185896e-26	-0.9958927962125029	-0.6846061848012553
intercept195	-0.9470324812505574	0.0834504546883936	-11.348440038904569	8.144586309545308e-30	-1.1105923669333004	-0.7834725955678142
intercept196	-2.0118398488017832	0.07892998624866922	-25.488916752924222	1.7395460935310926e-142	-2.1665397791494168	-1.85713991845415
intercept197	-2.0750781676440466	0.07902847841282948	-26.257346836468745	4.968915592294182e-151	-2.2299711390861936	-1.9201851962018996
intercept198	-2.0801785531726154	0.08235662267771063	-25.258181862472178	5.724559499585768e-140	-2.2415945675092828	-1.918762538835948
intercept199	-1.6594261156227894	0.08854902696769242	-18.74019593945668	4.062905739352415e-78	-1.8329790193455324	-1.4858732119000464
intercept200	-1.6118543837627455	0.08045420890824499	-20.034432078016017	5.707352921903455e-89	-1.7695417356275671	-1.4541670318979238
intercept201	-1.689942314161275	0.08746906426253372	-19.32045722004072	6.77892469421195e-83	-1.8613785298772607	-1.5185060984452894
intercept202	4.784464751088967	0.054077519519895804	88.47419026548918	0	4.67847476045671	4.890454741721224
intercept203	2.114149673180662	0.05519989723025918	38.29988422554054	8.634244e-317	2.005959862659042	2.2223394837022825
intercept204	1.9250621170475721	0.04368150482065109	44.070416643189226	0	1.8394479408085833	2.010676293286561
intercept205	2.6793639214692098	0.04952506799642834	54.10116593201731	0	2.582296571864313	2.7764312710741064
intercept206	2.557606772660951	0.04430624832202424	57.725645242447385	0	2.4707681216596953	2.644445423662207
intercept207	3.207867912986109	0.04689841831836184	68.40034329537619	0	3.1159487021502263	3.299787123821992
intercept208	3.9027933765805365	0.046350617928480414	84.20153928913301	0	3.8119478347795384	3.9936389183815346
intercept209	-0.005026044806482984	0.029897533646493165	-0.16810901079368848	0.8664981338977934	-0.06362413398018404	0.053572044367218075
intercept210	2.9299202834474367	0.03288883059249823	89.0855719301779	0	2.865459359992501	2.9943812069023723
intercept211	-0.07182732980270194	0.03177247694039148	-2.2606776908661415	0.02378308348497233	-0.1341002403054986	-0.009554419299905283
intercept212	0.6598396286494475	0.030300872618472037	21.776258293208215	1.0725279610402952e-104	0.6004510096171064	0.7192282476817885
